target        , status , scenario     , train_samples, test_samples, mae                  , rmse                 , r2                    , median, max   , reason
Ambrosia      , ok     , lstm_forecast,        3088.0,       1324.0, 22.279869094496632   , 51.97509370172493    , 0.3841215585787694    ,    0.0, 1099.0, 
Artemisia     , ok     , lstm_forecast,        3088.0,       1324.0,  0.8875262250321364  ,  1.5427998232394058  , -0.4386303352253855   ,    0.0,   77.0, 
Alnus         , ok     , lstm_forecast,        3088.0,       1324.0,  1.3272792742077826  ,  2.8190504926142372  , -0.10298732934755783  ,    0.0,  315.0, 
Betula        , ok     , lstm_forecast,        3088.0,       1324.0,  9.534674651791367   , 18.709200299682777   , 0.10587092123939967   ,    0.0,  776.0, 
Carpinus      , ok     , lstm_forecast,        3088.0,       1324.0,  2.1424384897889914  ,  7.8738853359683505  , 0.0045968476938672564 ,    0.0,  168.0, 
Castanea      , ok     , lstm_forecast,        3088.0,       1324.0,  0.7214921381000255  ,  1.2054375746747201  , -0.35988630745868533  ,    0.0,   29.0, 
Quercus       , ok     , lstm_forecast,        3088.0,       1324.0,  2.640482838135466   ,  6.505621649410134   , 0.11120248134962762   ,    0.0,  109.0, 
Chenopodium   , ok     , lstm_forecast,        3088.0,       1324.0,  0.6132066616636569  ,  1.180120720906197   , 0.22369973418203315   ,    0.0,   16.0, 
Acer          , ok     , lstm_forecast,        3088.0,       1324.0,  0.1302790800925468  ,  0.6389833751476672  , 0.02293968817096459   ,    0.0,   16.0, 
Fraxinus      , ok     , lstm_forecast,        3088.0,       1324.0,  2.2128604177583933  ,  5.043309154684746   , -0.0049576363427126235,    0.0,  182.0, 
Fagus         , ok     , lstm_forecast,        3088.0,       1324.0,  0.2700410726511136  ,  0.6990056693025886  , -0.10632446550577024  ,    0.0,   16.0, 
Aesculus      , ok     , lstm_forecast,        3088.0,       1324.0,  0.37810352547347453 ,  0.9708168806263406  , 0.0362103069850126    ,    0.0,   44.0, 
Larix         , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=6<50
Corylus       , ok     , lstm_forecast,        3088.0,       1324.0,  0.6255639781786785  ,  0.9612600240490288  , -1.965669396319313    ,    0.0,   59.0, 
Juglans       , ok     , lstm_forecast,        3088.0,       1324.0,  0.9306712376482762  ,  2.965277777756273   , 0.2594700800489068    ,    0.0,   48.0, 
Ulmus         , ok     , lstm_forecast,        3088.0,       1324.0,  0.673167004540149   ,  1.2903252832587664  , -0.042523481808946384 ,    0.0,   33.0, 
Urtica        , ok     , lstm_forecast,        3088.0,       1324.0, 12.941254903250401   , 23.637185762103318   , 0.22191107975319724   ,    4.0,  569.0, 
Rumex         , ok     , lstm_forecast,        3088.0,       1324.0,  0.5270383846509943  ,  1.078560641218249   , 0.009159136809419821  ,    0.0,   14.0, 
Populus       , ok     , lstm_forecast,        3088.0,       1324.0,  2.280632215688143   ,  6.30646855592334    , 0.18117482406720709   ,    0.0,  113.0, 
Plantago      , ok     , lstm_forecast,        3088.0,       1324.0,  0.8334447455555876  ,  1.6485659726412558  , 0.0013771041297171438 ,    0.0,   24.0, 
Platanus      , ok     , lstm_forecast,        3088.0,       1324.0,  1.2953999830305076  ,  2.8967599722562487  , -0.032051669031425645 ,    0.0,   75.0, 
Salix         , ok     , lstm_forecast,        3088.0,       1324.0,  2.5394880484200146  ,  6.828716400775804   , -0.020423538330913926 ,    0.0,  199.0, 
Filipendula   , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=13<50
Sambucus      , ok     , lstm_forecast,        3088.0,       1324.0,  0.36062572259467174 ,  0.5800784617836705  , -0.3388793100538252   ,    0.0,   32.0, 
